Course Code,Department Name,Course Description,Course Catalog Description,Credits and Level,Special Program Description
H16704,Business,Academic Personal Financial Management,"Academic Personal Financial Management is the college preparatory level of this course. It is designed for those students who have demonstrated the ability to read independently, think critically, and successfully complete research projects. This course is designed to inform students how personal finance directly correlates to their future success. Students will be exposed to the following topics: income and careers; money management; credit and debt management; planning, saving, and investing; becoming a critical consumer; and risk management and insurance. Students will learn how to set and prioritize financial goals, develop spending plans, obtain financial security, distinguish between wealth and income, and calculate the time value of money. This course will empower students to make informed financial decisions and recognize outcomes that promote financial independence.","Credits: 2.5
Grade Levels: 11:12:","Prerequisites: A passing grade in Academic U.S. History or Honors U.S. History or Advanced Placement U.S. History
Course Highlights:
Income & Careers
Money Management
Credit & Debit Management
Planning, Saving & investing
Critical Consumerism
Financial Institutions"
H16720,Business,AP Macroeconomics,"This course is designed to teach students the mandated curriculum for Advanced Placement Macroeconomics as determined by the College Board. Macroeconomics covers topics such as measurement of economic performance, economic growth, Gross Domestic Product, Aggregate Demand and Aggregate Supply, international economic policy, foreign exchange market, loanable funds rates, fiscal and monetary policy, the Federal Reserve's role in our economy, the Federal Government's role in our economy, real vs. nominal variables, and trade policies and their effects on the world economy. Films, videos, and film clips, including R-rated or unrated movies, may be used to help reinforce concepts and make connections to real-world events. A student's grade in this course is heavily dependent on their ability to test well. A strong work ethic and willingness to learn new material are key criteria for entering this course. Students are expected to draw economic graphs and perform calculations using various formulas.  All students who complete this course successfully should be well-prepared for the Advanced Placement Macroeconomics exam in May. Films (some of which may have an R-rating), videos, and other digital learning tools may be used to reinforce course concepts.

Summer Assignment

Includes a Mandatory Summer Assignment that is due by August 31st. Complete details and instructions for the Summer Assignments will be available on the SBHS website prior to the end of school in June each year. Please be sure that you are accessing the current assignment and not something from a previous year. Students will need to join a Google Classroom and submit their work there. Failure to complete the Mandatory Summer Assignment completely and satisfactorily and to submit on time will lead to dismissal from the class.

Advanced Placement (AP)

Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations should not expect to be successful in these courses.

Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","No Prerequisites
Course Highlights:
Basic Economic Concepts
Economic Indicators and the Business Cycle
National Income and Price Determination
Financial Sector
Long-Run Consequences of Stabilization Policies
Open Economy - International trade and Finance
AP Exam Prep & Culminating Project"
H16719,Business,AP Microeconomics,"This course is designed to teach students the mandated curriculum for Advanced Placement Microeconomics as determined by the College Board. Microeconomics covers topics such as market structures, the economizing problem, factor markets, cost and revenue structures, externalities, government regulation and intervention in markets, and income inequality. Films, videos, and film clips, may be used to help reinforce concepts and make connections to real-world events. A student's grade in this course is heavily dependent on their ability to test well and manage a college-level curriculum. A strong work ethic and willingness to learn new material are key criteria for entering this course. All students who complete this course successfully should be well-prepared for the Advanced Placement Microeconomics exam in May. 

Includes a Mandatory Summer Assignment that is due on August 31st. Failure to complete the summer assignment in full will lead to dismissal from the course. Summer assignments are posted on the SBHS website in June.

Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations shouldn't expect to be successful in these courses.

Students should be reading at or above grade level and able to perform mathematical calculations with a level of analysis at or above grade level.

Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","No Prerequisites
Course Highlights:
Market Structures
The Economizing Problem
Factor Markets
Cost and Revenue Structures
Externalities
Government Regulation and Intervention in Markets"
H16137,Business,Business 21st Century,"In this introductory survey course, students will be exposed to major segments of the business environment in order to spark their interest of further study in business education. The course focuses on the environment in which business operates, the functional areas of business, and the language of business. Students will gain a wide array of business experiences ranging from starting a business to working collaboratively in teams. Students will study the interrelationships between economics, entrepreneurship, management, marketing, advertising and career planning. The course provides the broad-based business knowledge and skills that every worker in all industries should know.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Economics & Business Ownership
Consumers & Marketing
International Business & Careers
Management & Personal Finance"
H16032,Business,Business Org. & Management,"This college-level course is designed to examine how businesses operate in our society and how certain factors affect the performance of a business. Those factors that will be more closely examined include the business environment in the United States, the management of an enterprise, business economics, the Securities Markets, and ethical issues that affect businesses. Films including R-rated movies may be used to reinforce business concepts. Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations should not expect to be successful in these courses.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","No Prerequisites
Course Highlights:
The Environment of Business
Management and Human Resources
Business Ownership and Financial Management
Accounting and Money Management
Marketing"
H16021,Business,Business/Criminal Law,"Business and Criminal Law is a course that is designed to introduce students to how our laws are created and understand the purpose of our laws. Students will study the basic areas including but not limited to criminal law, civil law, contract law and laws governing consumer protection, laws regarding minors, and the laws of marriages, divorce, and intestacy.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Law, Justice, and You
Mock Trial
Contract Law
Property Law
Employment Law
Legal Forms of Business Organization"
H19120,Business,Career Exploration and Development,"This course is designed for 10th, 11th, and 12th-grade students, to expose them to a variety of Career Clusters and directly correlate these to their transition planning. Students will learn about each cluster and options for careers associated with each. Each cluster will be discussed with a focus on skills/aptitudes, projection, experiences, and interest connections. This course will empower students to make informed career decisions and to build a plan as to how they may achieve the goal of acquiring that career. There will be a co-taught section option for learners with IEP's.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Architecture & Engineering
Arts & Design
Building and Grounds Cleaning
Business & Financial
Community and Social Service
Computer & Information Technology
Construction & Extraction
Education, Training, & Library
Entertainment & Sports, Farming, Fishing, & Forestry
Food Preparation & Serving
Healthcare
And MORE!"
H16053,Business,College Accounting I: Financial Accounting,"This course is designed for students looking for an introduction to the study of accounting. Students will learn the basic concepts and practices related to the accounting cycle in order to prepare financial statements. In addition to accounting principles and procedures, the course places emphasis on the Sarbanes Oxley Act and its impact on internal controls and Business Ethics on financial reporting. The online learning management system, CNOW by Cengage, a learning and testing resource and Microsoft Excel , a spreadsheet application software is used throughout the course. Videos, movies (some of which may have a R-rating), and other digital learning tools may be used to reinforce business concepts. Students have the option of earning 4 college credits. 

Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations should not expect to be successful in these courses.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","No Prerequisites
Course Highlights:
Accounting Principles
Accounting Procedures
Preparation of Financial Statements
Analysis and Interpretation of Financial Statements 
Spreadsheet/Accounting Application Software"
H16054,Business,College Accounting II: Managerial Accounting,"This advanced course introduces students to the accounting of debt and equity financing and the capital structure of a corporation, managerial accounting and the manufacturing process.This course covers the statement of cash flows; financial statement analysis, the nature of Managerial Accounting, job order cost systems, process cost systems, cost allocation and activity-based costing; analyses for managerial decision-making; budgeting, standard cost systems, accounting for decentralized operations and transfer pricing. Students will also be exposed to the terminology used to describe costs related to manufacturing. The course emphasizes accounting activities that help managers plan and control the operations of a business. The online learning management system, CNOW by Cengage, a learning and testing resource and Microsoft Excel , a spreadsheet application software is used throughout the course. Videos, movies (some of which may have a R-rating), and other digital learning tools may be used to reinforce business concepts. Students have the option of earning 4 college credits.

Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations should not expect to be successful in these courses.The current college accounting 2 is a dual enrollment course offered through Middlesex County College.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","Prerequisites: 73% or better in Financial Accounting
Course Highlights:
Managerial Accounting Principles & Procedures
Introduction to Cost Accounting 
Business Budgeting
Operations Control
Business Financial Statements: Creation, Analysis & interpretation"
H16702,Business,College Computer Applications & Systems,"This course defines computers and computer applications and their use in business, industry and government. Students completing this course will be computer-fluent. Topics include the history of computers, hardware devices, software programs, terminology, privacy of information, ethical behavior and the influence of computers on people and society. Hands-on experience includes: using a Windows operating system, a word processor, designing and implementing spreadsheets and producing presentations.  Videos, movies (some of which may have a R-rating), and other digital learning tools may be used to reinforce course concepts. This course is recommended for anyone who will be involved with computers and the use of computer application software. Students have the option of earning 3 college credits. Due to the accelerated nature and rigor of Advanced Placement and college-level courses, students are expected to complete independent reading and explore relevant resources outside of class. Good attendance is also essential. Students who are unable to meet these expectations should not expect to be successful in these courses","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0
Opportunity to earn college credit: Dual Credit Course","No Prerequisites
Course Highlights:
Microsoft PowerPoint
Microsoft Word
Microsoft Excel
Introduction to Computers & Technology
Information Processing
Hardware & Software Networks
Computer Security"
